address,rewards
0x34aaa3d5a73d6f9594326d0422ce69748f09b14f,59738.920164357598067944
0x40447250ac4f40e2285a4c22c7f23e0549981f07,43727.132545322840438128
0xc0ba9fd6fd13b87f71cf6d665d7f1ebec592c7c0,21071.647518639369203335
0x0aba55c93cf7292f71067b0ba0d8b464592895ca,20708.435181403441848595
0x2983a89e018bae9e3eec745cced1be85a59c44c4,20292.911472970173214877
0x0185c3dd9f48bfaea84a637c769840f5c3bdb658,13428.832991666167372295
0x42ab9e1c9332e61eba3a17b53fce2abf73dc8b12,11771.027263992759587573
0xd18c9461107896177a3758514a2098fa77e95b7e,11261.406248375391828784
0x07f58c9792bc03443d7b96ed314800a911a11680,10233.552692075609473696
0xaa679e4ee126f49c4c7e06bffae0f64562e74deb,9959.571645347347192104
0x1929a0454cdd4d925e8fc9b6c366ecd7844866f2,9806.566696940791084653
0x310d4fb2845c3e0c3c57165198d65a5327a373ea,8732.398368027970088112
0x32471db667ef93c80f0ba9c7163c7a26635bff19,8299.548639039305812304
0x92ad2575e1d8a5876616518331f1b7aeb03068f9,7077.860367221399447507
0x0941ae5a513cc77c99df2b8f9f35281003d49510,7016.611480038480761825
0xfac2f11ba2577d5122dc1ec5301d35b16688251e,6688.513053811662067192
0xf7f64a1930c5c2d4ca5f0fcbeeda639f5c6d8192,6583.402100845443145773
0xe13a4be266ac4b715bed72668e795db9da78f2c7,6272.496219055500756736
0xf1363d3d55d9e679cc6aa0a0496fd85bdfcf7464,6209.383679827418584766
0x9a82aa6edbc473a883b8906bf41084c9c1b760f2,5997.878131207759554524
0xeac446a86091dac36348df5fec35a09d0bd8e7d7,5445.175166718245730206
0x58ceafcb29476a64590c39ab2df40cfba7d0b06e,5270.566686647924216296
0xbdb1be928730dc4dedef5fa4a4b874fc6124f979,4950.609019793727595581
0x4e6524146d6ac59707ed1d5473ac2fd2a59131b4,4927.600417995317942229
0xf035561dce033ded865e15e69db06cffc88d9213,4674.666901719897255859
0x0de6d3bef0d5dbd40bacbde2d0f7836e130897af,4439.018861839051102682
0x0a338782562e1740b9468f0855dd4c51f29defde,4205.158363472839241409
0x297946c26171008ba8c0e5642814b5fe6b842ab7,4039.170438455582156054
0x5c10afd2e8c8ae7e282aea60759209f32edfe3d8,4020.390520032071506371
0x37469a13baa13900d49d4779d51ac3a274ffcde7,3978.030037733071871118
0xbc7aac28d2e9699a8fddf65a2ff828c221a5c261,3952.178654930937434159
0x6c51d544c1ac203148484b35e8d0e741cfb67dce,3699.698948668765351962
0xfc2486494ace5336abe687737cfe604146f7ae98,3642.362844520364004256
0x6331dc0de519a75ee1b0b3505e858ca3ba30b84e,3455.509315836985982416
0x1a201469d96f7d443e71ee3997efdd6f2ed33f50,3219.268917989018509117
0x906cbddab9ad238bfc285604d7ea6d76e5badfe4,3218.304466099200321441
0x131f1d9ce025ffe96a942c631cfdb2b8cf176091,2906.571915967772357117
0x91f55200a8edfdd247b9320f3edf168d8ead2b7f,2890.386003096021397728
0xe3f892174190b3f0fa502eb84c8208c7c0998c50,2848.326211872846537190
0x34bb0e6e868aff5a7661445362b3a62551a2fbac,2808.942232300120963327
0x1454db9f51830941e668f2ccfe7c540482557625,2802.692652120018823714
0x6595732468a241312bc307f327ba0d64f02b3c20,2776.323607678150913093
0xb7d4b6676dd564420f3d64360b9c5bde4961bd02,2696.474532824940693110
0xf03a6dd8555097a4f8ef63ef6b3591724aa08530,2582.274457928733259136
0x37c911910cd06cfeb749d32ee4bd73e0b4eb9647,2542.442708778210748966
0xd1d366f31cc2fc50c8b8d8eb9f9ebfc34a006376,2530.678560678147148591
0xdd3306ebbbe2bd9238a79b0bc95f29bdb915b592,2443.869574749772809886
0x4ec7cdf61405758f5ced5e454c0b4b0f4f043df0,2394.965533398062206774
0x27022406aeef6ed606c6e45282b7729b23644984,2219.066698004285902473
0xf81abb0fdc25ab446bd49c882b98e5399194c78d,2075.800783020491145662
0x04922fcc8434589998449d5828ad0be16c935fb4,2073.557962461797782779
0xc28e21b841487f6a50acbae4d09d7f4d4d012bcc,1988.637575217004329368
0x55e1490a1878d0b61811726e2cb96560022e764c,1834.832606683155784094
0x7e1ff06fc9adaca7383560f3d674c6b686aef67e,1748.443184724313569380
0xdb478114eb8301a7ace35513c3312c1eeb8d99d0,1733.669844723278043655
0xa6568e845de6de94f2734e26f7cfa2e31baef205,1638.046399176991192728
0x8c8573044f4cbe11f92f1b7fabcd28f2f4230a15,1600.944329712966746853
0xc56197bcf7ba173f009d971c8b087f4f9f6e4203,1539.508128946106347543
0x11dd7bbd76ef94d94c4179b89799487670b3dbdd,1474.623568806711996581
0x7cc696a7734f459d55d1b4d716b1f56416f0c21f,1469.548387248809608579
0xe9bb76c255c2d8fdab4a78d46d32eceef4cc0832,1464.287795604705672662
0xf24ca1cdfdba0e5e2682d8cac627821d43adbecb,1371.913100317795749955
0xdf8752de9b615e991378c89d1424fc94f4ffa2d0,1330.419323702321454361
0x581c38d82f005663a5e1caea1ebd4783a70cac03,1273.932793978074948701
0x959af5d3af340641a8127df93e9d49583e81e4c1,1271.704117845055572604
0x14c59364a13bd0e12ff2041cf4aa92f52fd1de4b,1240.546242536400927274
0xdc7c5b169e17aef7dbc51e0a19eb9223a96b0193,1160.674861486093887607
0xc4ea7bbc6b186089ae4b90e282dec17ee08bc340,1078.121938204729402940
0xf11db27da72c48d9b06885cfe7bcc817ac9a0287,1068.314383837934977920
0x83deb18dc5574df9558abf719b7e109fe050560e,1032.209468933210434295
0x183b6267cb9f985a8aa7fc912672a21d644a4102,1001.974873585337613887
0x238b4d4ebd41c8570bfa2fc859cad272e1042502,988.650384144209335058
0xdc27620f4e2e3728c2a3d209f748f82eb1e99031,987.526921427667254627
0x214f7b85a0f0aa067bcc2ea6263dd4b0ede8957c,957.480356845197184913
0x0bced0863ade2773479bb3582b61ee1d8e2876ae,936.626718087986265560
0x41518da68f74c256fed8c8590cc67b0226adf5c2,913.203501903022995013
0x293723c4b99e60c3093eb60963c30555d14079f4,911.326346037636660817
0x968cf7d8bbe57e3cde24ac1e2f2a52dc8ebf25e6,881.635700792713359412
0x50ecd4ef5d719b1e47dcb09fcca2d86f8cc41d96,861.383095380003140064
0x38554f8b4282e82adae04b8f661668ea4c6864c3,828.603508243082452870
0x056590f16d5b314a132bbcfb1283fec5d5c6e670,825.712699518937004968
0x68f9d801c96ac6ccf562f3600cef77c4504449b6,815.190429372408554434
0xc6ab35d0f7b64f3b1287ed463aeafb6d47b3ab7f,784.703809247108255964
0x630184b0a149118e898178db2c1fab82a39bfe33,772.292624947619740587
0x2d70bc8a7eef5344d8f7d9ea0f528af38a84deb7,756.642269603956030525
0x90faae2db20120d6b8bc60f1a8af79ab9d1eefc5,750.244424718564372683
0x87806fa6481dee55438d90bac808919f35a027e0,698.207255518556579797
0x6a07ea36da7850cc89be2523eb9423fbe7237061,686.034358619599702270
0xd2860356e7c28d8fe65361679ba79fc6719bdb9d,681.611754106201633289
0x8628d73d3f950abde99739ef34b6cfa10394f579,678.862471730529331926
0xe0bfd08da4daf8f8ba11d1c3802009e75f963497,677.711689817542288443
0x088953d68e9af6700eb75a5b59c5853cb6a9017d,645.603870373179069692
0xf72ec7bfb2aa9170859d5e759943a96d30fce15e,635.805978534893349174
0x605b5f6549538a94bd2653d1ee67612a47039da0,623.265654335488189955
0x5f350bf5fee8e254d6077f8661e9c7b83a30364e,621.679558039724115281
